"hourlyTime","year","month","day","hour","price","volumeBTC","volumeUSD"
"13/05/17:16","13","05","17","16",116.000047619048,806.43578426,93546.589375864
"13/05/17:17","13","05","17","17",117.024482758621,273.1808071,31968.84265046
"13/05/17:18","13","05","17","18",117.304397905759,164.79523441,19331.2057502035
"13/05/17:19","13","05","17","19",117.416782178218,136.42580499,16018.6790279988
"13/05/17:20","13","05","17","20",117.506810810811,154.58603061,18164.9114528835
"13/05/17:21","13","05","17","21",117.674545454545,96.89908226,11402.5554599081
"13/05/17:22","13","05","17","22",117.889285714286,132.3074049,15597.6254583718
"13/05/17:23","13","05","17","23",117.968764044944,74.73211383,8816.05510299115
"13/05/18:00","13","05","18","00",117.441976744186,219.60420184,25790.7515654188
"13/05/18:01","13","05","18","01",116.790317460317,97.81171116,11423.4607977133
"13/05/18:02","13","05","18","02",117.2496875,157.08908215,18418.6457917493
"13/05/18:03","13","05","18","03",116.744186046512,68.36940314,7981.73032006512
"13/05/18:04","13","05","18","04",116.576304347826,97.72804988,11392.7748861304
"13/05/18:05","13","05","18","05",116.822173913043,47.89768916,5595.51217308242
"13/05/18:06","13","05","18","06",116.778518518519,127.59100609,14899.8886674775
"13/05/18:07","13","05","18","07",116.558405797101,153.66379575,17910.8070613514
"13/05/18:08","13","05","18","08",116.427755102041,158.97979827,18509.6610191514
"13/05/18:09","13","05","18","09",117.240476190476,405.04265909,47487.3942291683
"13/05/18:10","13","05","18","10",117.948816568047,319.02176252,37628.2393486866
"13/05/18:11","13","05","18","11",117.283658536585,48.35101668,5670.78413019386
"13/05/18:12","13","05","18","12",117.883058823529,105.75907724,12467.2035234051
"13/05/18:13","13","05","18","13",118.110975609756,222.97959327,26336.3373021863
"13/05/18:14","13","05","18","14",118.054876847291,310.78777205,36690.0121550066
"13/05/18:15","13","05","18","15",118.229065420561,128.45180445,15186.7367917081
"13/05/18:16","13","05","18","16",117.87024691358,173.50761537,20451.3854650484
"13/05/18:17","13","05","18","17",118.191685393258,303.84919273,35912.4481941397
"13/05/18:18","13","05","18","18",118.398375,68.82200111,8148.4130956722
"13/05/18:19","13","05","18","19",118.323529411765,80.20087938,9489.65111016882
"13/05/18:20","13","05","18","20",118.422589285714,92.017743,10896.9793862874
"13/05/18:21","13","05","18","21",118.560348837209,61.07841958,7241.47873183024
"13/05/18:22","13","05","18","22",118.547037037037,48.76066198,5780.4320016935
"13/05/18:23","13","05","18","23",118.816609336609,269.39696206,32008.8335975524
"13/05/19:00","13","05","19","00",118.874069767442,48.09761485,5717.55922332645
"13/05/19:01","13","05","19","01",118.450985915493,172.54484236,20438.1066921753
"13/05/19:02","13","05","19","02",118.11,71.97035489,8500.4186160579
"13/05/19:03","13","05","19","03",118.268484848485,84.85839593,10036.0739133139
"13/05/19:04","13","05","19","04",118.277065217391,70.55519246,8345.06110001702
"13/05/19:05","13","05","19","05",118.570612244898,88.86208722,10536.4320870349
"13/05/19:06","13","05","19","06",118.442272727273,160.52620315,19013.0883333659
"13/05/19:07","13","05","19","07",118.518352941176,117.05671788,13873.3694038376
"13/05/19:08","13","05","19","08",118.771067961165,262.822477,31215.7062774887
"13/05/19:09","13","05","19","09",118.379090909091,123.35748144,14602.9465097023
"13/05/19:10","13","05","19","10",117.848099173554,323.49796044,38123.6197243755
"13/05/19:11","13","05","19","11",117.65027027027,164.63102029,19368.8840319889
"13/05/19:12","13","05","19","12",116.546326530612,854.85981084,99630.7706520561
"13/05/19:13","13","05","19","13",116.853333333333,374.75171039,43790.9865314395
"13/05/19:14","13","05","19","14",115.428031496063,610.39719112,70456.9462017077
"13/05/19:15","13","05","19","15",115.37734939759,366.40078757,42274.3516870162
"13/05/19:16","13","05","19","16",115.035737704918,224.18838107,25789.6758012587
"13/05/19:17","13","05","19","17",116.556865671642,60.70653591,7075.76355145257
"13/05/19:18","13","05","19","18",117.016538461538,36.73069006,4298.09820612484
"13/05/19:19","13","05","19","19",115.291666666667,228.68591981,26365.5808380946
"13/05/19:20","13","05","19","20",116.157419354839,38.79975086,4506.87893150828
"13/05/19:21","13","05","19","21",116.388666666667,17.642445,2053.38065029
"13/05/19:22","13","05","19","22",116.048181818182,17.76486347,2061.58010594174
"13/05/19:23","13","05","19","23",116.561333333333,34.43806824,4014.14715147872
"13/05/20:00","13","05","20","00",116.606666666667,87.94326279,10254.7707297326
"13/05/20:01","13","05","20","01",116.699404761905,126.81624125,14799.3798680171
"13/05/20:02","13","05","20","02",116.955537190083,79.61271496,9311.14784530773
"13/05/20:03","13","05","20","03",116.904821428571,137.15642274,16034.2471082014
"13/05/20:04","13","05","20","04",117.291260504202,102.19248258,11986.2850958619
"13/05/20:05","13","05","20","05",117.3788,76.41847226,8969.90857171209
"13/05/20:06","13","05","20","06",117.791983471074,76.331378,8991.22441570033
"13/05/20:07","13","05","20","07",117.820119760479,177.77950936,20946.0030837544
"13/05/20:08","13","05","20","08",117.857833333333,318.26960257,37510.5657747613
"13/05/20:09","13","05","20","09",118.113243243243,160.8205998,18995.0426227017
"13/05/20:10","13","05","20","10",118.186984126984,270.04393474,31915.6782287047
"13/05/20:11","13","05","20","11",118.297288135593,286.57750443,33901.3416147349
"13/05/20:12","13","05","20","12",117.996114649682,243.2299711,28700.1915561543
"13/05/20:13","13","05","20","13",118.358554913295,274.83768962,32529.3917791318
"13/05/20:14","13","05","20","14",118.505112107623,304.05596651,36032.1863982593
"13/05/20:15","13","05","20","15",118.551034482759,222.01536448,26320.1511301707
"13/05/20:16","13","05","20","16",117.32963190184,1074.30144774,126047.393414949
"13/05/20:17","13","05","20","17",117.733,148.84558357,17524.0370904468
"13/05/20:18","13","05","20","18",117.96618705036,91.49363998,10793.1558477989
"13/05/20:19","13","05","20","19",118.288043478261,80.43094303,9514.01888613016
"13/05/20:20","13","05","20","20",118.363797468354,95.64874136,11321.3482504381
"13/05/20:21","13","05","20","21",118.234833333333,76.99531122,9103.52778954483
"13/05/20:22","13","05","20","22",117.948333333333,44.93504562,5300.0137391363
"13/05/20:23","13","05","20","23",117.611463414634,40.00813346,4705.41512471859
"13/05/21:00","13","05","21","00",117.644571428571,26.42835484,3109.15247871401
"13/05/21:01","13","05","21","01",117.660144927536,47.82670464,5627.29699934887
"13/05/21:02","13","05","21","02",117.67275862069,41.05804148,4831.4130045143
"13/05/21:03","13","05","21","03",117.455178571429,198.3230513,23294.0694052721
"13/05/21:04","13","05","21","04",117.275294117647,89.69155899,10518.6039604225
"13/05/21:05","13","05","21","05",117.394838709677,405.00358756,47545.3308384469
"13/05/21:06","13","05","21","06",117.476486486486,160.15740301,18814.728990415
"13/05/21:07","13","05","21","07",117.724017857143,298.75073668,35170.1370597509
"13/05/21:08","13","05","21","08",117.794125,98.02606596,11546.8946669505
"13/05/21:09","13","05","21","09",117.755657894737,169.7620333,19990.4399167897
"13/05/21:10","13","05","21","10",117.869491525424,132.2856848,15592.4464034685
"13/05/21:11","13","05","21","11",117.511818181818,193.10921685,22692.6151797105
"13/05/21:12","13","05","21","12",117.5764,191.32528725,22495.3385038209
"13/05/21:13","13","05","21","13",117.761041666667,110.78040146,13045.6154721811
"13/05/21:14","13","05","21","14",118.014769230769,594.1856173,70122.6785059017
"13/05/21:15","13","05","21","15",117.905438596491,73.44618203,8659.70430548488
"13/05/21:16","13","05","21","16",117.46435483871,183.05478367,21502.4120639361
"13/05/21:17","13","05","21","17",117.447037037037,213.52819741,25078.254109664
"13/05/21:18","13","05","21","18",117.664390243902,119.40247585,14049.4195145025
"13/05/21:19","13","05","21","19",117.497234042553,137.76298727,16186.7699576645
"13/05/21:20","13","05","21","20",117.686875,24.13136758,2839.94523996651
"13/05/21:21","13","05","21","21",117.367272727273,173.47155072,20359.8828037772
"13/05/21:22","13","05","21","22",117.238846153846,89.49351905,10492.1169116693
"13/05/21:23","13","05","21","23",117.699473684211,95.33107486,11220.4173367721
"13/05/22:00","13","05","22","00",117.7015,182.17771606,21442.5904468361
"13/05/22:01","13","05","22","01",118.109191176471,428.71154346,50634.7736460769
"13/05/22:02","13","05","22","02",118.162,80.64740536,9529.45871214832
"13/05/22:03","13","05","22","03",118.19125,51.10690302,6040.38875156257
"13/05/22:04","13","05","22","04",118.212391304348,84.489438,9987.69850594044
"13/05/22:05","13","05","22","05",117.832363636364,73.1991993,8625.23466980825
"13/05/22:06","13","05","22","06",117.748446601942,629.37201749,74107.5773941776
"13/05/22:07","13","05","22","07",118.15552238806,119.00283332,14060.8419365838
"13/05/22:08","13","05","22","08",117.956052631579,216.82476951,25575.7939241515
"13/05/22:09","13","05","22","09",117.997804878049,44.39066795,5238.00137517035
"13/05/22:10","13","05","22","10",118.179652173913,957.54612636,113162.468153703
"13/05/22:11","13","05","22","11",118.913676880223,732.11794958,87058.8372945674
"13/05/22:12","13","05","22","12",119.112871621622,472.92044175,56330.9118654083
"13/05/22:13","13","05","22","13",119.039234972678,1003.20699211,119420.992860015
"13/05/22:14","13","05","22","14",119.264664948454,399.45853041,47641.2877901503
"13/05/22:15","13","05","22","15",119.250742857143,441.57105725,52657.6766012765
"13/05/22:16","13","05","22","16",118.877521367521,519.5836661,61766.8183690178
"13/05/22:17","13","05","22","17",118.962916666667,199.68447942,23755.0480848682
"13/05/22:18","13","05","22","18",119.151428571429,199.14302306,23728.1756876319
"13/05/22:19","13","05","22","19",119.269032258065,126.71224391,15112.8467063935
"13/05/22:20","13","05","22","20",119.277297297297,98.62740685,11764.0105285089
"13/05/22:21","13","05","22","21",119.392025316456,176.09718811,21024.5999409858
"13/05/22:22","13","05","22","22",119.265913043478,160.09281791,19093.6160997395
"13/05/22:23","13","05","22","23",119.321567164179,175.40521527,20929.6251747866
"13/05/23:00","13","05","23","00",119.512633744856,277.26532154,33136.7088233597
"13/05/23:01","13","05","23","01",119.562575107296,289.3680352,34597.5874422507
"13/05/23:02","13","05","23","02",119.551632653061,90.77263649,10852.0168926023
